"horario_inicial","local","carros","onibus","ideal_n_onibus"
"06:00","bobs",30,0,1
"06:00","jackson",21,1,1
"06:15","bobs",51,1,1
"06:15","burrinhos",514,14,8
"06:15","jackson",30,5,1
"06:30","bobs",113,2,2
"06:30","burrinhos",422,10,7
"06:30","jackson",52,1,1
"06:45","bobs",170,0,3
"06:45","burrinhos",808,11,12
"06:45","jackson",101,7,2
"07:00","bobs",186,1,3
"07:00","burrinhos",945,15,14
"07:00","jackson",115,3,2
"07:15","bobs",156,0,3
"07:15","burrinhos",750,10,11
"07:15","jackson",109,5,2
"07:30","bobs",139,0,3
"07:30","burrinhos",772,10,12
"07:30","jackson",125,0,2
"07:45","bobs",148,0,3
"07:45","burrinhos",971,6,15
"07:45","jackson",138,1,2
"08:00","bobs",165,0,3
"08:00","burrinhos",1098,7,16
"08:00","jackson",123,1,2
"08:15","bobs",166,0,3
"08:15","burrinhos",702,7,11
"08:15","jackson",132,1,2
"08:30","bobs",120,0,2
"08:30","burrinhos",855,9,13
"08:30","jackson",143,2,3
"08:45","bobs",158,0,3
"08:45","burrinhos",810,4,12
"08:45","jackson",135,3,2
"09:00","bobs",130,1,2
"09:00","burrinhos",795,7,12
"09:00","jackson",121,1,2
"09:15","bobs",123,0,2
"09:15","burrinhos",438,6,7
"09:15","jackson",132,3,2
"09:30","bobs",153,0,3
"09:30","burrinhos",609,5,9
"09:30","jackson",123,1,2
"09:45","bobs",124,0,2
"09:45","burrinhos",693,25,11
"09:45","jackson",142,2,3
"10:00","bobs",141,0,3
"10:00","burrinhos",715,7,11
"10:00","jackson",128,2,2
"10:15","bobs",134,0,2
"10:15","burrinhos",647,8,10
"10:15","jackson",113,3,2
"10:30","bobs",97,0,2
"10:30","burrinhos",557,4,9
"10:30","jackson",149,0,3
"10:45","bobs",111,0,2
"10:45","burrinhos",636,9,10
"10:45","jackson",147,4,3
"11:00","bobs",177,0,3
"11:00","burrinhos",693,5,11
"11:00","jackson",130,3,2
"11:15","bobs",162,1,3
"11:15","burrinhos",708,15,11
"11:15","jackson",139,2,3
"11:30","bobs",164,3,3
"11:30","burrinhos",640,13,10
"11:30","jackson",168,3,3
"11:45","bobs",211,0,4
"11:45","burrinhos",772,16,12
"11:45","jackson",150,3,3
"12:00","bobs",199,1,3
"12:00","burrinhos",654,4,10
"12:00","jackson",169,0,3
"12:15","bobs",141,1,3
"12:15","burrinhos",712,3,11
"12:15","jackson",155,4,3
"12:30","bobs",150,0,3
"12:30","burrinhos",841,6,13
"12:30","jackson",116,1,2
"12:45","bobs",192,0,3
"12:45","burrinhos",827,3,12
"12:45","jackson",118,4,2
"13:00","bobs",209,0,4
"13:00","burrinhos",786,3,12
"13:00","jackson",133,2,2
"13:15","bobs",177,0,3
"13:15","burrinhos",732,2,11
"13:15","jackson",140,3,3
"13:30","bobs",184,0,3
"13:30","burrinhos",698,2,11
"13:30","jackson",128,2,2
"13:45","bobs",220,0,4
"13:45","burrinhos",795,0,12
"13:45","jackson",151,0,3
"14:00","bobs",195,0,3
"14:00","burrinhos",900,2,14
"14:00","jackson",162,2,3
"14:15","bobs",224,1,4
"14:15","burrinhos",844,3,13
"14:15","jackson",149,2,3
"14:30","bobs",150,0,3
"14:30","burrinhos",761,4,12
"14:30","jackson",129,1,2
"14:45","bobs",187,0,3
"14:45","burrinhos",751,4,11
"14:45","jackson",139,2,3
"15:00","bobs",172,0,3
"15:00","burrinhos",723,4,11
"15:00","jackson",131,3,2
"15:15","bobs",135,0,2
"15:15","burrinhos",699,9,11
"15:15","jackson",160,1,3
"15:30","bobs",191,0,3
"15:30","burrinhos",744,5,11
"15:30","jackson",121,2,2
"15:45","bobs",159,0,3
"15:45","burrinhos",714,7,11
"15:45","jackson",145,3,3
"16:00","bobs",173,0,3
"16:00","burrinhos",718,6,11
"16:00","jackson",168,0,3
"16:15","bobs",170,1,3
"16:15","burrinhos",821,5,12
"16:15","jackson",160,1,3
"16:30","bobs",168,0,3
"16:30","burrinhos",617,5,9
"16:30","jackson",164,0,3
"16:45","bobs",205,0,3
"16:45","burrinhos",686,5,10
"16:45","jackson",161,2,3
"17:00","bobs",191,0,3
"17:00","burrinhos",749,10,11
"17:00","jackson",143,4,3
"17:15","bobs",181,2,3
"17:15","burrinhos",921,11,14
"17:15","jackson",160,2,3
"17:30","bobs",209,2,4
"17:30","burrinhos",866,7,13
"17:30","jackson",188,4,3
"17:45","bobs",190,1,3
"17:45","burrinhos",792,29,12
"17:45","jackson",121,6,2
"18:00","bobs",215,0,4
"18:00","burrinhos",538,20,8
"18:00","jackson",125,7,2
"18:15","bobs",170,0,3
"18:15","burrinhos",553,24,9
"18:15","jackson",147,11,3
"18:30","bobs",181,2,3
"18:30","burrinhos",540,10,8
"18:30","jackson",120,6,2
"18:45","bobs",161,1,3
"18:45","burrinhos",439,5,7
"18:45","jackson",121,1,2
"19:00","bobs",116,0,2
"19:00","burrinhos",433,7,7
"19:00","jackson",119,1,2
"19:15","bobs",144,0,3
"19:15","burrinhos",318,0,5
"19:15","jackson",101,1,2
"19:30","bobs",154,0,3
"19:30","burrinhos",293,4,5
"19:30","jackson",79,1,2
"19:45","bobs",148,0,3
"19:45","burrinhos",251,2,4
"19:45","jackson",73,1,2
"20:00","bobs",109,0,2
"20:00","burrinhos",296,1,5
"20:00","jackson",105,1,2
"20:15","bobs",107,0,2
"20:15","burrinhos",233,1,4
"20:15","jackson",66,0,1
"20:30","bobs",105,0,2
"20:30","burrinhos",221,0,4
"20:30","jackson",65,1,1
"20:45","bobs",73,0,2
"20:45","burrinhos",279,0,5
"20:45","jackson",88,0,2
